! Data file: E:\skola\praktika\Praktikum_IV\krystalova_struktura_A22\data\A22\K2NiF4.dat
! Format:       1
! position      background_value
       10.22000      421.00000
       11.72000      521.33337
       14.98000      584.33337
       16.54000      542.66669
       16.82000      527.00000
       18.68000      525.00000
       20.50000      552.33337
       22.34000      590.00000
       24.90000      624.00000
       25.58000      588.33337
       27.02000      652.00000
       28.58000      700.66669
       30.92000     1565.33337
       33.42000      716.00000
       35.26000      676.00000
       36.40000      666.00000
       38.48000      651.66669
       38.80000      698.00000
       40.44000      901.66669
       43.36000      792.66669
       43.98000      843.00000
       46.62000      779.33337
       48.46000      754.00000
       49.22000      749.66669
       50.54000      787.66669
       52.22000      821.66669
       54.36000      825.00000
       56.96000      777.33337
       57.78000      786.00000
       59.12000      805.33337
       61.74000      825.00000
       63.64000      952.66669
       64.20000      849.00000
       67.06000      845.00000
       68.00000      886.66669
       69.52000      866.33337
       71.20000      896.66669
       72.64000      839.00000
       75.56000      971.00000
       76.88000      837.00000
       78.08000      865.00000
       79.28000      892.00000
       82.30000      921.33337
       82.66000      908.00000
       84.36000      899.00000
       86.94000      903.00000
       87.80000      917.00000
       90.38000      948.33337
       92.50000      943.66669
       92.98000      968.00000
       95.50000      917.00000
       96.08000      909.33337
       98.98000      909.33337
       99.76000      983.66669
      101.26000     1009.66669
      104.42000      915.00000
      104.94000      966.33337
      106.16000     1003.66669
      107.98000     1053.66675
      109.82000      970.00000
      112.42000     1000.00000
      114.04000     1013.00000
      114.68000     1013.33337
      117.44000     1041.00000
      119.36000     1068.66675
      119.82000     1091.00000
      122.26000     1031.33337
      123.86000     1014.00000
      124.90000     1134.33337
      127.68000     1046.00000
      129.67999     1088.33337
      130.24001     1100.33337
      132.06000     1081.66675
      134.39999     1070.66675
      135.34000     1075.33337
      137.72000     1130.00000
      139.66000     1103.33337
      141.28000     1109.00000
      141.89999     1118.33337
      144.84000     1164.33337
      146.39999     1159.00000
      147.70000     1101.66675
      148.86000     1058.00000
